id,reference_path,search_path,style,has_landmark,scale_factor,rotation_deg,noise_level,seed,true_x,true_y,pred_x,pred_y,error_px,error_px_spec_fair,confidence,cnn_used,tie_break_method,num_candidate_peaks,time_ms
test_00013,../data/test/references/test_00013.png,../data/test/searches/test_00013.png,dram_arcuate,True,9.946,-1.568,1.327,1268182881,351.177,364.8,351.158,364.779,0.0281,0.0281,0.9999,True,cnn_landmark,1,744.9
test_00014,../data/test/references/test_00014.png,../data/test/searches/test_00014.png,finfet,False,10.0048,4.258,2.092,1962277273,522.992,381.416,497.974,503.16,124.2881,2.4051,0.0239,False,lattice_enumeration,300,1205.6
test_00015,../data/test/references/test_00015.png,../data/test/searches/test_00015.png,dram,True,11.4902,-4.056,0.505,821696563,632.025,479.719,631.972,479.74,0.0573,0.0573,1.0,True,cnn_landmark,1,751.3
test_00016,../data/test/references/test_00016.png,../data/test/searches/test_00016.png,dram_arcuate,True,10.8657,2.283,0.865,1423141688,578.153,510.721,578.162,510.707,0.017,0.017,0.9999,True,cnn_landmark,1,792.0
test_00017,../data/test/references/test_00017.png,../data/test/searches/test_00017.png,finfet,False,9.5747,-0.928,0.546,1969484706,568.538,687.218,496.509,513.378,188.1713,14.5913,0.0391,False,lattice_enumeration,300,1289.7
test_00018,../data/test/references/test_00018.png,../data/test/searches/test_00018.png,dram,False,10.5803,-5.286,1.316,367865791,486.355,417.822,497.578,500.385,83.3226,5.0108,0.0239,False,lattice_enumeration,300,1372.5
test_00019,../data/test/references/test_00019.png,../data/test/searches/test_00019.png,dram_arcuate,True,9.1261,-0.778,1.736,1208915105,486.434,396.648,486.476,396.554,0.1026,0.1026,1.0,True,cnn_landmark,1,724.7
test_00020,../data/test/references/test_00020.png,../data/test/searches/test_00020.png,finfet,True,9.9506,-1.998,2.189,221682146,589.252,566.661,589.22,566.665,0.032,0.032,0.965,True,cnn_landmark,2,748.7
test_00021,../data/test/references/test_00021.png,../data/test/searches/test_00021.png,dram,True,8.671,-2.579,2.452,1380475062,521.66,539.188,521.637,539.136,0.057,0.057,0.9993,True,cnn_landmark,1,745.7
test_00022,../data/test/references/test_00022.png,../data/test/searches/test_00022.png,dram_arcuate,True,10.8521,-2.881,1.558,1232829877,414.208,442.037,414.231,442.016,0.0311,0.0311,1.0,True,cnn_landmark,1,829.7
test_00023,../data/test/references/test_00023.png,../data/test/searches/test_00023.png,finfet,True,10.4592,-2.72,1.301,1982200916,557.622,576.447,557.657,576.522,0.0824,0.0824,0.9984,True,cnn_landmark,1,726.5
test_00024,../data/test/references/test_00024.png,../data/test/searches/test_00024.png,dram,True,10.967,0.089,0.413,1894322299,430.501,531.236,430.52,531.235,0.0185,0.0185,1.0,True,cnn_landmark,1,719.2
test_00025,../data/test/references/test_00025.png,../data/test/searches/test_00025.png,dram_arcuate,False,9.1545,0.849,2.229,1531373343,555.364,737.612,501.414,497.586,246.0147,186.4645,0.0365,False,lattice_enumeration,128,1472.5
test_00026,../data/test/references/test_00026.png,../data/test/searches/test_00026.png,finfet,False,8.5627,0.575,2.361,1494090108,411.859,579.411,501.775,514.055,111.1593,41.6174,0.0261,False,lattice_enumeration,300,1698.9
test_00027,../data/test/references/test_00027.png,../data/test/searches/test_00027.png,dram,False,10.6314,-5.905,0.433,406330213,675.473,688.098,504.417,495.571,257.5398,151.3688,0.0466,False,lattice_enumeration,300,1574.6
test_00028,../data/test/references/test_00028.png,../data/test/searches/test_00028.png,dram_arcuate,False,9.2965,-1.604,1.858,157086490,408.038,520.361,501.714,497.648,96.3908,14.7421,0.0165,False,lattice_enumeration,230,1054.1
test_00029,../data/test/references/test_00029.png,../data/test/searches/test_00029.png,finfet,False,8.7953,1.03,1.412,2073785296,581.666,397.157,495.509,490.406,126.9584,15.5288,0.0381,False,lattice_enumeration,300,1538.0
